teamId,playerId,playerName,Position,Age,Id
0,31826,Seamus Coleman,DEF,0,506
0,318432,Yerry Mina,DEF,0,507
0,342863,Ruben Vinagre,DEF,0,508
0,345516,Vitalii Mykolenko,DEF,0,509
31,349669,Anthony Gordon,AM,22,510
31,357427,Dwight McNeil,AM,29,511
31,367781,James Garner,MID,32,512
31,396483,Ellis Simms,FWD,29,513
0,396975,Nathan Patterson,DEF,0,514
31,400815,Amadou Onana,MID,22,515
31,80464,Idrissa Gueye,MID,22,516
31,97710,Conor Coady,DEF,35,517
0,100008,Victor Lindelof,DEF,0,518
32,114397,Fred,MID,21,519
0,115479,Wout Weghorst,FWD,0,520
32,118244,Luke Shaw,DEF,35,521
32,122366,Anthony Martial,FWD,27,522
32,123761,Bruno Fernandes,AM,31,523
32,275035,Donny van de Beek,MID,26,524
32,300299,Marcus Rashford,AM,23,525
32,331924,Aaron Wan-Bissaka,DEF,25,526
0,336915,Scott McTominay,MID,0,527
32,340105,Lisandro Martinez,DEF,31,528
0,345303,Tyrell Malacia,DEF,0,529
32,346300,Jadon Sancho,AM,28,530
32,353418,Diogo Dalot,DEF,50,531
32,364315,Antony,AM,23,532
32,404086,Facundo Pellistri,AM,27,533
32,413211,Anthony Elanga,AM,21,534
32,437022,Alejandro Garnacho,AM,19,535
32,460260,Kobbie Mainoo,MID,31,536
32,5583,Cristiano Ronaldo,FWD,25,537
32,69344,Christian Eriksen,MID,24,538
32,79554,David de Gea,GK,25,539
32,88526,Casemiro,MID,25,540
32,92051,Marcel Sabitzer,MID,23,541
0,93206,Raphael Varane,DEF,0,542
32,99487,Harry Maguire,DEF,32,543
